wave,flux,error
4905.552,2.491e-13,3.319e-15
4910.032,2.474e-13,3.300e-15
4914.510,2.643e-13,3.347e-15
4918.988,2.690e-13,3.407e-15
4923.466,3.042e-13,3.535e-15
4927.943,3.906e-13,3.877e-15
4932.419,6.927e-13,4.890e-15
4936.894,1.399e-12,6.753e-15
4941.369,2.205e-12,8.362e-15
4945.843,3.119e-12,9.860e-15
4950.317,3.812e-12,1.084e-14
4954.789,4.399e-12,1.161e-14
4959.262,5.185e-12,1.257e-14
4963.733,4.516e-12,1.172e-14
4968.204,1.885e-12,7.676e-15
4972.675,6.087e-13,4.594e-15
4977.144,6.514e-13,4.759e-15
4981.613,1.492e-12,6.868e-15
4986.082,3.744e-12,1.061e-14
4990.550,6.192e-12,1.354e-14
4995.017,8.563e-12,1.585e-14
4999.484,1.064e-11,1.763e-14
5003.950,1.297e-11,1.939e-14
5008.415,1.479e-11,2.065e-14
5012.880,1.068e-11,1.754e-14
5017.344,3.477e-12,1.010e-14
5021.807,6.803e-13,4.718e-15
5026.270,3.033e-13,3.377e-15
5030.732,2.502e-13,3.154e-15
5035.194,2.257e-13,3.067e-15
5039.655,2.235e-13,3.034e-15
5044.116,2.211e-13,3.025e-15
5048.576,2.161e-13,3.002e-15
5053.035,2.098e-13,2.969e-15
5057.494,2.100e-13,2.978e-15
5061.952,1.981e-13,2.922e-15
5066.409,2.118e-13,2.984e-15
5070.866,1.955e-13,2.968e-15
5075.322,1.976e-13,2.971e-15
5079.778,1.910e-13,2.972e-15
5084.233,1.999e-13,2.996e-15
5088.688,1.971e-13,2.985e-15
5093.142,1.905e-13,2.931e-15
5097.595,1.993e-13,2.887e-15
5102.048,1.950e-13,2.861e-15
5106.500,1.908e-13,2.814e-15
5110.952,2.001e-13,2.798e-15
5115.403,1.864e-13,2.801e-15
5119.854,1.950e-13,2.780e-15
5124.304,1.896e-13,2.764e-15
5128.753,1.852e-13,2.780e-15
5133.202,1.885e-13,2.781e-15
5137.650,1.821e-13,2.772e-15
5142.098,1.925e-13,2.736e-15
5146.545,1.848e-13,2.768e-15
5150.991,2.019e-13,2.791e-15
5155.437,1.888e-13,2.766e-15
5159.883,1.692e-13,2.696e-15
5164.328,1.793e-13,2.713e-15
5168.772,1.819e-13,2.705e-15
5173.216,1.868e-13,2.716e-15
5177.659,1.892e-13,2.711e-15
5182.102,1.725e-13,2.676e-15
5186.544,1.747e-13,2.686e-15
5190.986,1.848e-13,2.687e-15
5195.427,1.814e-13,2.718e-15
5199.867,1.833e-13,2.702e-15
5204.307,1.860e-13,2.701e-15
5208.747,1.831e-13,2.688e-15
5213.186,1.821e-13,2.661e-15
5217.624,1.835e-13,2.659e-15
5222.062,1.772e-13,2.663e-15
5226.499,1.718e-13,2.625e-15
5230.936,1.853e-13,2.635e-15
5235.372,1.797e-13,2.610e-15
5239.808,1.806e-13,2.612e-15
5244.243,1.816e-13,2.623e-15
5248.678,1.843e-13,2.620e-15
5253.112,1.737e-13,2.602e-15
5257.546,1.752e-13,2.607e-15
5261.979,1.834e-13,2.632e-15
5266.412,1.756e-13,2.597e-15
5270.844,1.778e-13,2.592e-15
5275.276,1.813e-13,2.583e-15
5279.707,1.763e-13,2.547e-15
5284.137,1.771e-13,2.595e-15
5288.568,1.799e-13,2.575e-15
5292.997,1.762e-13,2.564e-15
5297.426,1.672e-13,2.539e-15
5301.855,1.697e-13,2.548e-15
5306.283,1.631e-13,2.524e-15
5310.711,1.642e-13,2.535e-15
5315.138,1.666e-13,2.517e-15
5319.565,1.576e-13,2.482e-15
