wave,inten,std
5597.533,24104.651,49.269
5601.932,23974.899,49.124
5606.330,24121.548,49.269
5610.729,23899.952,49.050
5615.126,23968.649,49.128
5619.524,23950.915,49.111
5623.921,24001.098,49.158
5628.318,23862.564,49.013
5632.714,23691.552,48.831
5637.110,23631.559,48.775
5641.506,23645.613,48.813
5645.901,23457.037,48.592
5650.296,23448.602,48.600
5654.691,23434.084,48.569
5659.085,23508.418,48.642
5663.479,23316.361,48.443
5667.873,23268.904,48.416
5672.266,23213.224,48.350
5676.659,23174.457,48.314
5681.051,22986.646,48.120
5685.443,23057.654,48.208
5689.835,23011.674,48.160
5694.227,22907.142,48.032
5698.618,22694.710,47.808
5703.009,22826.188,47.933
5707.399,22631.181,47.738
5711.789,22635.334,47.744
5716.179,22533.143,47.654
5720.569,22493.831,47.600
5724.958,22399.577,47.504
5729.347,22394.148,47.492
5733.735,22208.388,47.293
5738.124,22286.603,47.386
5742.512,22132.560,47.208
5746.899,22107.265,47.180
5751.286,22157.362,47.220
5755.673,22026.823,47.115
5760.060,22057.870,47.125
5764.446,21987.076,47.055
5768.832,21892.088,46.971
5773.218,21940.850,47.008
5777.604,21823.415,46.897
5781.989,21680.140,46.724
5786.374,21675.792,46.723
5790.758,21807.193,46.879
5795.142,21766.996,46.839
5799.526,21784.048,46.845
5803.910,21764.912,46.838
5808.293,21733.118,46.794
5812.676,21662.530,46.723
5817.059,21719.504,46.774
5821.442,21719.275,46.781
5825.824,21746.201,46.786
5830.206,21671.216,46.721
5834.587,21781.435,46.824
5838.969,21620.356,46.656
5843.350,21639.381,46.683
5847.731,21462.869,46.488
5852.111,21515.131,46.563
5856.491,21431.798,46.453
5860.871,21357.460,46.382
5865.251,21358.211,46.384
5869.631,21247.753,46.261
5874.010,20970.381,45.966
5878.389,20805.321,45.782
5882.768,20756.147,45.728
5887.146,20639.880,45.607
5891.524,20395.608,45.344
5895.902,20369.194,45.311
5900.280,20400.290,45.355
5904.657,20555.603,45.519
5909.034,20550.333,45.502
5913.411,20615.427,45.589
5917.788,20256.198,45.187
5922.164,20374.243,45.327
5926.540,20246.106,45.157
5930.916,20270.621,45.208
5935.292,20147.224,45.065
5939.668,20250.493,45.182
5944.043,19873.681,44.761
5948.418,19955.724,44.838
5952.792,19914.440,44.791
5957.167,19964.986,44.843
5961.541,19780.326,44.638
5965.915,19930.239,44.800
5970.289,19686.710,44.542
5974.663,19844.552,44.711
5979.036,19665.703,44.519
5983.409,19681.435,44.519
5987.782,19628.539,44.484
5992.155,19617.099,44.466
5996.528,19692.111,44.557
6000.900,19682.862,44.532
6005.272,19596.793,44.436
6009.644,19496.490,44.314
6014.016,19310.646,44.106
6018.387,19409.805,44.230
6022.759,19228.852,44.007
6027.130,19201.499,43.975
6031.501,19018.711,43.769
6035.871,19115.383,43.890
6040.242,18979.361,43.719
6044.612,18968.342,43.724
6048.982,18843.312,43.568
6053.352,18887.378,43.621
6057.722,18866.087,43.595
6062.091,18811.572,43.525
6066.461,18678.786,43.387
6070.830,18734.519,43.443
6075.199,18511.779,43.182
