wave,inten,std
5891.524,105.701,1.904
5895.902,108.486,1.915
5900.280,99.386,1.888
5904.657,112.353,1.927
5909.034,110.966,1.929
5913.411,109.469,1.930
5917.788,98.364,1.865
5922.164,108.262,1.885
5926.540,103.778,1.886
5930.916,106.325,1.884
5935.292,103.104,1.882
5939.668,106.548,1.874
5944.043,102.408,1.846
5948.418,107.253,1.841
5952.792,104.441,1.828
5957.167,99.245,1.808
5961.541,105.143,1.810
5965.915,107.232,1.816
5970.289,107.010,1.812
5974.663,92.838,1.775
5979.036,94.358,1.761
5983.409,100.280,1.779
5987.782,101.371,1.783
5992.155,108.197,1.791
5996.528,96.905,1.753
6000.900,93.928,1.745
6005.272,107.214,1.758
6009.644,106.783,1.741
6014.016,100.378,1.748
6018.387,98.982,1.718
6022.759,105.135,1.737
6027.130,100.585,1.720
6031.501,97.128,1.709
6035.871,94.890,1.717
6040.242,105.964,1.705
6044.612,101.239,1.727
6048.982,91.695,1.668
6053.352,98.560,1.698
6057.722,98.299,1.680
6062.091,100.765,1.685
6066.461,98.820,1.669
6070.830,100.747,1.680
6075.199,101.663,1.678
6079.568,103.725,1.702
6083.936,93.913,1.706
6088.305,105.009,1.702
6092.673,105.066,1.700
6097.041,103.943,1.724
6101.409,99.795,1.732
6105.777,96.935,1.787
6110.145,103.101,1.852
6114.512,91.005,1.888
6118.879,95.382,1.878
6123.247,97.743,1.786
6127.613,104.958,1.747
6131.980,97.528,1.714
6136.347,95.442,1.691
6140.713,97.092,1.708
6145.080,98.514,1.730
6149.446,95.588,1.699
6153.812,93.840,1.694
6158.178,102.897,1.700
6162.544,92.056,1.687
6166.909,94.335,1.674
6171.275,95.843,1.658
6175.640,93.220,1.614
6180.005,87.570,1.617
6184.370,101.618,1.623
6188.735,89.598,1.621
6193.100,96.057,1.646
6197.465,98.134,1.631
6201.829,89.798,1.615
6206.194,91.358,1.613
6210.558,92.570,1.641
6214.922,92.227,1.648
6219.286,90.637,1.624
6223.650,90.330,1.605
6228.014,94.436,1.610
6232.377,92.376,1.606
